title,description,url,icon,category,createdAt
Thingiverse,Maior comunidade de arquivos para impressão 3D.,https://www.thingiverse.com/,🎲,Impressão 3D,
Printables,Modelos 3D de alta qualidade para baixar e imprimir.,https://www.printables.com/,🖨️,Impressão 3D,
GitHub,Onde o mundo constrói software.,https://github.com/,💻,Desenvolvimento,
makerworld,Melhor site 3D,https://makerworld.com/pt,🌐,Impressão 3D,
Image to stl,Conversor de imagem para STL 3D,https://imagetostl.com/,🖼️,Impressão 3D,
picsvg,Conversor gratuito de imagem para SVG (Alternativa),https://picsvg.com/,🎨,Ferramentas,
tencent 3d,gerador de imagem pra objetos chines,https://3d.hunyuanglobal.com/,,Impressão 3D,
Sinric Pro,Dashboard,https://portal.sinric.pro/dashboard,🤖,Automação,
Controle de Impressão 3D,controle de gasto e lucro e vendas  da minha impressora 3d,https://brunoserra123.github.io/controle-impressao-3d/,,Impressão 3D,
inteligencia artificial,ajudante de ti,https://gemini.google.com/app?hl=pt-BR,,A.I,
Biblioteca STL,pacote pago  stl,https://entregastl.lovable.app/login,🖨️,Impressão 3D,
game  ps5,site pra baixar game ps5,https://www.superpsx.com/category/ps5/ps5-games/,,PS5,
makeronline,3d,https://www.makeronline.com/en/,,Impressão 3D,
